gpscoordinates_longitude,email,complaint_type,location,CreatedAt,title,citizenName,category,economicImpact,environmentalImpact,emotion,lastUpdatedDate,ResolutionTime,tehsil,id,complaintType,socialImpact,pincode,status,district,date,submissionDate,complaint,contactNumber,updatedAt,relatedPolicies,subcategory,urgencyLevel,ward,gpscoordinates_latitude,isAnonymous,estimated,departmentAssigned
77.9,example1000@gmail.com,,"Gorakhpur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1000,Rajesh Kumar,Infrastructure,Medium - Families spending extra money on private water tankers,Low - Minor impact on local vegetation,Disappointment,2025-02-05,9,N/A,1000,Water Supply,High - Affecting daily lives of hundreds of families in the area,281307,In Progress,Sahpau,,2025-02-05,There has been no water supply for over two days. We are facing severe issues with daily cleaning and drinking water. The authorities are not responding to our complaints.,9448154171,2025-02-05 01:41:04,"['UP Jal Nigam Regulations', 'Water Supply Management Act']",Water Distribution,High,N/A,27.4417,True,56,UP Jal Nigam
79.625,example1001@gmail.com,,"Jhansi, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1001,Amit Singh,Utilities,High - Business losses and additional expenses on generators,Medium - Increased generator usage causing pollution,Frustration,2025-02-05,8,N/A,1001,Electricity,High - Disrupting business operations and daily activities,242221,In Progress,Jalalabad Shahjahanpur,,2025-02-05,"The electricity bills are too high, and the power cuts are frequent. Even during peak hours, the power supply is cut off without any prior notice.",6946055058,2025-02-05 01:41:04,"['UP Electricity Regulatory Commission Guidelines', 'Power Distribution Policy']",Power Distribution,High,N/A,27.7583,False,40,UP Power Corporation Ltd.
77.5556,example1002@gmail.com,,"Hapur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1002,Suresh Gupta,Sanitation,Medium - Increased healthcare costs due to diseases,High - Pollution and contamination of local environment,Anger,2025-02-05,2,N/A,1002,Garbage,High - Affecting public health and hygiene,250406,Open,Parikshitigarh,,2025-02-05,"The garbage collection is irregular, and the heaps of waste are rotting in public places. This is affecting the cleanliness and health of the locality.",6514066181,2025-02-05 01:41:04,"['Municipal Solid Waste Management Rules', 'Public Health Act']",Waste Management,High,N/A,29.0611,True,88,Municipal Corporation
79.6125,example1003@gmail.com,,"Prayagraj, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1003,Ravi Sharma,Infrastructure,Medium - Vehicle repair costs and delays,Low - Minor impact on local environment,Irritation,2025-02-05,28,N/A,1003,Roads,High - Increased accidents and injuries,241201,Open,Bahendar,,2025-02-05,"The roads are filled with potholes, and it's becoming dangerous to drive. Accidents are increasing due to the poor condition of the streets, and there is no repair work being done.",9480152700,2025-02-05 01:41:04,"['Public Works Department Guidelines', 'Road Safety Act']",Road Maintenance,High,N/A,25.9167,False,37,Public Works Department
81.7,example1004@gmail.com,,"Aligarh, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1004,Anjali Verma,Transport,Medium - Increased expenses on alternative transport,Low - Minor impact on local environment,Annoyance,2025-02-05,13,N/A,1004,Public Transport,High - Affecting daily commute and productivity,227808,Open,Hasanpur (Sultanpur),,2025-02-05,"The public buses are unreliable and overcrowded. They often don’t follow schedules, leaving people stranded for long hours, especially during rush hour.",9628371021,2025-02-05 01:41:04,"['Public Transport Regulations', 'Urban Transport Policy']",Public Transport,Medium,N/A,26.4833,False,83,State Transport Department
81.5111,example1005@gmail.com,,"Agra, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1005,Pooja Singh,Healthcare,Medium - Increased healthcare costs,Low - Minor impact on local environment,Concern,2025-02-05,28,N/A,1005,Health Services,High - Affecting public health and well-being,227132,In Progress,U P Govt Camp Post Office,,2025-02-05,"The government hospital lacks proper sanitation, and patients often wait for hours to be attended to. The hospital staff is overworked and seems to be in constant shortage.",7813259643,2025-02-05 01:41:04,"['Public Health Act', 'Hospital Management Guidelines']",Hospital Management,High,N/A,26.5278,True,83,Health Department
82.3833,example1006@gmail.com,,"Moradabad, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1006,Vikram Yadav,Law & Order,Medium - Losses due to theft and crime,Low - Minor impact on local environment,Frustration,2025-02-05,16,N/A,1006,Police & Law,High - Increased crime and insecurity,228141,In Progress,Jaisinghapur,,2025-02-05,"The police seem uninterested in solving local crimes. Even after repeated complaints, the authorities have not taken any serious action against local criminals.",6038420564,2025-02-05 01:41:04,"['Police Act', 'Criminal Procedure Code']",Crime Management,High,N/A,26.1667,False,43,Police Department
78.4167,example1007@gmail.com,,"Fatehpur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1007,Neha Tiwari,Education,Medium - Increased expenses on private tuition,Low - Minor impact on local environment,Concern,2025-02-05,9,N/A,1007,Education,High - Affecting quality of education,241123,In Progress,Pali,,2025-02-05,"Schools in our area are facing a severe shortage of teachers, and classes are often merged, causing disruptions. The government must improve the education system urgently.",6255582641,2025-02-05 01:41:04,"['Education Act', 'Teacher Recruitment Policy']",School Management,High,N/A,24.4833,True,55,Education Department
81.5833,example1008@gmail.com,,"Saharanpur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1008,Ramesh Kumar,Infrastructure,Medium - Families spending extra money on private water tankers,Low - Minor impact on local vegetation,Frustration,2025-02-05,24,N/A,1008,Water Supply,High - Affecting daily lives of hundreds of families in the area,225415,Open,Tikaitnagar,,2025-02-05,"We have to rely on tanker services for water, and even then, the supply is irregular. The authorities need to fix the local water system immediately.",8748547015,2025-02-05 01:41:04,"['UP Jal Nigam Regulations', 'Water Supply Management Act']",Water Distribution,High,N/A,26.95,False,69,UP Jal Nigam
81.5111,example1009@gmail.com,,"Bijnor, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1009,Sunita Devi,Utilities,High - Business losses and additional expenses on generators,Medium - Increased generator usage causing pollution,Disappointment,2025-02-05,4,N/A,1009,Electricity,High - Disrupting business operations and daily activities,227116,In Progress,Rahimbad,,2025-02-05,"The electric supply in our area is very unstable. During the day, we experience frequent power fluctuations, and during the night, power cuts are a common issue.",6850820562,2025-02-05 01:41:04,"['UP Electricity Regulatory Commission Guidelines', 'Power Distribution Policy']",Power Distribution,High,N/A,26.5278,True,89,UP Power Corporation Ltd.
