name,email,role,assignedRegion,createdAt
Anil Kumar,anil.kumar1@up.gov.in,DISTRICT_MAGISTRATE,Lucknow,2025-02-10T03:29:59Z
Sunita Sharma,sunita.sharma2@up.gov.in,DEPARTMENT_HEAD,Varanasi,2025-02-10T03:29:59Z
Rajesh Verma,rajesh.verma3@up.gov.in,PANCHAYAT_HEAD,Meerut,2025-02-10T03:29:59Z
Meera Singh,meera.singh4@up.gov.in,GRAM_PANCHAYAT_HEAD,Agra,2025-02-10T03:29:59Z
Vikram Patel,vikram.patel5@up.gov.in,NAGAR_SEVAK,Kanpur,2025-02-10T03:29:59Z
Alok Yadav,alok.yadav6@up.gov.in,STATE_LEVEL_OFFICER,Allahabad,2025-02-10T03:29:59Z
Priya Gupta,priya.gupta7@up.gov.in,DISTRICT_MAGISTRATE,Gorakhpur,2025-02-10T03:29:59Z
Suresh Chandra,suresh.chandra8@up.gov.in,DEPARTMENT_HEAD,Noida,2025-02-10T03:29:59Z
Anita Desai,anita.desai9@up.gov.in,PANCHAYAT_HEAD,Aligarh,2025-02-10T03:29:59Z
Ravi Shankar,ravi.shankar10@up.gov.in,GRAM_PANCHAYAT_HEAD,Mathura,2025-02-10T03:29:59Z
Kiran Rao,kiran.rao11@up.gov.in,NAGAR_SEVAK,Faizabad,2025-02-10T03:29:59Z
Manoj Tiwari,manoj.tiwari12@up.gov.in,STATE_LEVEL_OFFICER,Bareilly,2025-02-10T03:29:59Z
Deepa Joshi,deepa.joshi13@up.gov.in,DISTRICT_MAGISTRATE,Saharanpur,2025-02-10T03:29:59Z
Amitabh Bachchan,amitabh.bachchan14@up.gov.in,DEPARTMENT_HEAD,Mirzapur,2025-02-10T03:29:59Z
Neha Dubey,neha.dubey15@up.gov.in,PANCHAYAT_HEAD,Raebareli,2025-02-10T03:29:59Z
Sanjay Singh,sanjay.singh16@up.gov.in,GRAM_PANCHAYAT_HEAD,Sitapur,2025-02-10T03:29:59Z
Pooja Bhatt,pooja.bhatt17@up.gov.in,NAGAR_SEVAK,Unnao,2025-02-10T03:29:59Z
Arjun Kapoor,arjun.kapoor18@up.gov.in,STATE_LEVEL_OFFICER,Jhansi,2025-02-10T03:29:59Z
Radhika Apte,radhika.apte19@up.gov.in,DISTRICT_MAGISTRATE,Ghaziabad,2025-02-10T03:29:59Z
Naveen Kumar,naveen.kumar20@up.gov.in,DEPARTMENT_HEAD,Muzaffarnagar,2025-02-10T03:29:59Z
Swati Singh,swati.singh21@up.gov.in,PANCHAYAT_HEAD,Gonda,2025-02-10T03:29:59Z
Rakesh Roshan,rakesh.roshan22@up.gov.in,GRAM_PANCHAYAT_HEAD,Etawah,2025-02-10T03:29:59Z
Kajal Aggarwal,kajal.aggarwal23@up.gov.in,NAGAR_SEVAK,Firozabad,2025-02-10T03:29:59Z
Abhishek Verma,abhishek.verma24@up.gov.in,STATE_LEVEL_OFFICER,Shahjahanpur,2025-02-10T03:29:59Z
Sonal Chauhan,sonal.chauhan25@up.gov.in,DISTRICT_MAGISTRATE,Barabanki,2025-02-10T03:29:59Z
Vivek Oberoi,vivek.oberoi26@up.gov.in,DEPARTMENT_HEAD,Azamgarh,2025-02-10T03:29:59Z
Anjali Menon,anjali.menon27@up.gov.in,PANCHAYAT_HEAD,Basti,2025-02-10T03:29:59Z
Karthik Aryan,karthik.aryan28@up.gov.in,GRAM_PANCHAYAT_HEAD,Bijnor,2025-02-10T03:29:59Z
Shruti Haasan,shruti.haasan29@up.gov.in,NAGAR_SEVAK,Amroha,2025-02-10T03:29:59Z
Rohit Shetty,rohit.shetty30@up.gov.in,STATE_LEVEL_OFFICER,Hardoi,2025-02-10T03:29:59Z
Aishwarya Rai,aishwarya.rai31@up.gov.in,DISTRICT_MAGISTRATE,Moradabad,2025-02-10T03:29:59Z
Ajay Devgn,ajay.devgn32@up.gov.in,DEPARTMENT_HEAD,Sultanpur,2025-02-10T03:29:59Z
Kangana Ranaut,kangana.ranaut33@up.gov.in,PANCHAYAT_HEAD,Deoria,2025-02-10T03:29:59Z
Ranbir Kapoor,ranbir.kapoor34@up.gov.in,GRAM_PANCHAYAT_HEAD,Jaunpur,2025-02-10T03:29:59Z
Alia Bhatt,alia.bhatt35@up.gov.in,NAGAR_SEVAK,Lakhimpur,2025-02-10T03:29:59Z
Shahid Kapoor,shahid.kapoor36@up.gov.in,STATE_LEVEL_OFFICER,Hathras,2025-02-10T03:29:59Z
Deepika Padukone,deepika.padukone37@up.gov.in,DISTRICT_MAGISTRATE,Ballia,2025-02-10T03:29:59Z
Salman Khan,salman.khan38@up.gov.in,DEPARTMENT_HEAD,Mau,2025-02-10T03:29:59Z
Kareena Kapoor,kareena.kapoor39@up.gov.in,PANCHAYAT_HEAD,Auraiya,2025-02-10T03:29:59Z
