assignedRegion,blockJurisdiction,contactNumber,createdAt,departmentId,designation,email,fieldArea,gramSabhaArea,isActive,jurisdiction,level,name,officeAddress,panchayatArea,panchayatDetails,panchayatOfficers,panchayatWorkers,parentId,role,specialization,updatedAt,villageCount,wardNumber
Lucknow,,9876543210,2023-01-01T00:00:00Z,,District Magistrate,arvind.kumar@up.gov.in,,,True,Lucknow District,DISTRICT_LEVEL,Arvind Kumar,Lucknow District Magistrate Office,,,,,,DISTRICT_MAGISTRATE,,2023-10-01T00:00:00Z,,
Kanpur Nagar,,9876543211,2023-01-01T00:00:00Z,,District Magistrate,anita.singh@up.gov.in,,,True,Kanpur Nagar District,DISTRICT_LEVEL,Anita Singh,Kanpur Nagar District Magistrate Office,,,,,,DISTRICT_MAGISTRATE,,2023-10-01T00:00:00Z,,
Varanasi,,9876543212,2023-01-01T00:00:00Z,,District Magistrate,rajesh.verma@up.gov.in,,,True,Varanasi District,DISTRICT_LEVEL,Rajesh Verma,Varanasi District Magistrate Office,,,,,,DISTRICT_MAGISTRATE,,2023-10-01T00:00:00Z,,
Agra,,9876543213,2023-01-01T00:00:00Z,,District Magistrate,priya.tiwari@up.gov.in,,,True,Agra District,DISTRICT_LEVEL,Priya Tiwari,Agra District Magistrate Office,,,,,,DISTRICT_MAGISTRATE,,2023-10-01T00:00:00Z,,
Meerut,,9876543214,2023-01-01T00:00:00Z,,District Magistrate,suresh.yadav@up.gov.in,,,True,Meerut District,DISTRICT_LEVEL,Suresh Yadav,Meerut District Magistrate Office,,,,,,DISTRICT_MAGISTRATE,,2023-10-01T00:00:00Z,,
Prayagraj,,9876543215,2023-01-01T00:00:00Z,,District Magistrate,neha.sharma@up.gov.in,,,True,Prayagraj District,DISTRICT_LEVEL,Neha Sharma,Prayagraj District Magistrate Office,,,,,,DISTRICT_MAGISTRATE,,2023-10-01T00:00:00Z,,
Gorakhpur,,9876543216,2023-01-01T00:00:00Z,,District Magistrate,vikas.gupta@up.gov.in,,,True,Gorakhpur District,DISTRICT_LEVEL,Vikas Gupta,Gorakhpur District Magistrate Office,,,,,,DISTRICT_MAGISTRATE,,2023-10-01T00:00:00Z,,
Bareilly,,9876543217,2023-01-01T00:00:00Z,,District Magistrate,alok.singh@up.gov.in,,,True,Bareilly District,DISTRICT_LEVEL,Alok Singh,Bareilly District Magistrate Office,,,,,,DISTRICT_MAGISTRATE,,2023-10-01T00:00:00Z,,
Moradabad,,9876543218,2023-01-01T00:00:00Z,,District Magistrate,sunita.devi@up.gov.in,,,True,Moradabad District,DISTRICT_LEVEL,Sunita Devi,Moradabad District Magistrate Office,,,,,,DISTRICT_MAGISTRATE,,2023-10-01T00:00:00Z,,
Saharanpur,,9876543219,2023-01-01T00:00:00Z,,District Magistrate,rahul.mishra@up.gov.in,,,True,Saharanpur District,DISTRICT_LEVEL,Rahul Mishra,Saharanpur District Magistrate Office,,,,,,DISTRICT_MAGISTRATE,,2023-10-01T00:00:00Z,,
Lucknow,,9876543220,2023-01-01T00:00:00Z,,Commissioner,amit.patel@up.gov.in,,,True,Lucknow District,DISTRICT_LEVEL,Amit Patel,Lucknow Commissioner Office,,,,,1.0,COMMISSIONER,,2023-10-01T00:00:00Z,,
Kanpur Nagar,,9876543221,2023-01-01T00:00:00Z,,Administrator,kavita.singh@up.gov.in,,,True,Kanpur Nagar District,DISTRICT_LEVEL,Kavita Singh,Kanpur Nagar Administrator Office,,,,,2.0,ADMINISTRATOR,,2023-10-01T00:00:00Z,,
