name,email,password,role,created_at,updated_at
Arun Kumar,arun.kumar@up.gov.in,,Worker,2025-01-01 09:00:00,2025-01-01 09:00:00
Sunita Sharma,sunita.sharma@up.gov.in,,Worker,2025-01-02 09:15:00,2025-01-02 09:15:00
Rajesh Singh,rajesh.singh@up.gov.in,,Worker,2025-01-03 09:30:00,2025-01-03 09:30:00
Meera Verma,meera.verma@up.gov.in,,Worker,2025-01-04 09:45:00,2025-01-04 09:45:00
Amitabh Joshi,amitabh.joshi@up.gov.in,,Worker,2025-01-05 10:00:00,2025-01-05 10:00:00
Priya Gupta,priya.gupta@up.gov.in,,Worker,2025-01-06 10:15:00,2025-01-06 10:15:00
Vikram Chauhan,vikram.chauhan@up.gov.in,,Worker,2025-01-07 10:30:00,2025-01-07 10:30:00
Anjali Yadav,anjali.yadav@up.gov.in,,Worker,2025-01-08 10:45:00,2025-01-08 10:45:00
Suresh Patel,suresh.patel@up.gov.in,,Worker,2025-01-09 11:00:00,2025-01-09 11:00:00
Kavita Mishra,kavita.mishra@up.gov.in,,Worker,2025-01-10 11:15:00,2025-01-10 11:15:00
Anil Saxena,anil.saxena@up.gov.in,,DepartmentOfficer,2025-01-11 11:30:00,2025-01-11 11:30:00
Rekha Tripathi,rekha.tripathi@up.gov.in,,DepartmentOfficer,2025-01-12 11:45:00,2025-01-12 11:45:00
Manoj Pandey,manoj.pandey@up.gov.in,,DepartmentOfficer,2025-01-13 12:00:00,2025-01-13 12:00:00
Shalini Singh,shalini.singh@up.gov.in,,DepartmentOfficer,2025-01-14 12:15:00,2025-01-14 12:15:00
Rakesh Kumar,rakesh.kumar@up.gov.in,,DepartmentOfficer,2025-01-15 12:30:00,2025-01-15 12:30:00
Neha Agarwal,neha.agarwal@up.gov.in,,DepartmentOfficer,2025-01-16 12:45:00,2025-01-16 12:45:00
Sanjay Dubey,sanjay.dubey@up.gov.in,,DepartmentOfficer,2025-01-17 13:00:00,2025-01-17 13:00:00
Pooja Saxena,pooja.saxena@up.gov.in,,DepartmentOfficer,2025-01-18 13:15:00,2025-01-18 13:15:00
Ashok Mehta,ashok.mehta@up.gov.in,,DepartmentOfficer,2025-01-19 13:30:00,2025-01-19 13:30:00
Deepa Rai,deepa.rai@up.gov.in,,DepartmentOfficer,2025-01-20 13:45:00,2025-01-20 13:45:00
